,x_pix,y_pix,amplitude,vlsr,sigma_v,labelsDBSCAN
10898,144.0,121.0,3.565551371206726,10.556791007220356,0.23695586817661343,-1
10899,145.0,121.0,3.949883445632655,10.612617162960433,0.20155536010529806,3
10900,146.0,121.0,4.218802148052825,10.648241510664885,0.1937573749605052,3
10901,147.0,121.0,4.468532147982521,10.676049618477803,0.19987481020572548,3
10902,213.0,121.0,2.729390704672584,8.73323376882833,0.0931091160300764,-1
10903,214.0,121.0,2.5887373004355587,8.785186459500485,0.0862051915849514,-1
10904,215.0,121.0,2.4057841551975288,8.825693208185884,0.09171286537723072,-1
10905,98.0,122.0,3.0300792225824345,9.00929519864425,0.08407285179990868,-1
10906,103.0,122.0,4.768198526442289,10.04586857758438,0.08807846085331718,0
10907,104.0,122.0,5.701755102515059,10.054175626388924,0.08364623849760289,0
10908,105.0,122.0,5.810933253097542,10.060764318355778,0.08359467828487499,-1
10909,106.0,122.0,5.677540421244176,10.058580996332957,0.0837402444632069,-1
10910,107.0,122.0,5.141898836433249,10.041381198654419,0.08683769608250837,0
10911,108.0,122.0,4.55868807048578,10.025063452157433,0.09538142610915477,0
10912,109.0,122.0,5.171724276691472,9.677509208573314,0.11177763584335716,-1
10913,116.0,122.0,10.09664649781737,9.576640324993454,0.12628238243362594,-1
10914,117.0,122.0,10.325707347594664,9.560789334423669,0.13168071431982917,-1
10915,119.0,122.0,7.410311862870546,9.404925187951106,0.10626398639846496,-1
10916,120.0,122.0,8.261870956978198,9.368343202133595,0.1081700696933762,-1
10917,121.0,122.0,5.253854575801462,9.352548924124605,0.08802823403031639,-1
10918,122.0,122.0,4.889204815313198,9.32597037458151,0.1015375677058381,-1
10919,123.0,122.0,4.94664412744529,9.281345124441936,0.10758350263545302,-1
10920,124.0,122.0,5.294869539782835,9.240226992991657,0.10642276951495697,-1
10921,125.0,122.0,5.7120318166660295,9.213473572249008,0.12343212485159985,-1
10922,129.0,122.0,6.991690569644317,9.147106302564096,0.12977053076084327,4
10923,130.0,122.0,6.8930740461268085,9.138355429456315,0.12822111831249872,4
10924,131.0,122.0,7.189081730827359,9.156112890343833,0.2040899193953956,4
10925,132.0,122.0,6.890881689343102,9.202794018026692,0.2568168011396599,4
10926,133.0,122.0,7.032216987451056,9.19538559803523,0.24344454687162104,4
10927,134.0,122.0,7.223817900033702,9.193738658663067,0.22855037977948622,4
10928,135.0,122.0,7.2406111021894155,9.201499557043165,0.22945538776934993,4
10929,136.0,122.0,6.783232453495364,9.220859922851131,0.24971289293568105,4
10930,138.0,122.0,4.232089972132222,9.26959246863516,0.3178973573640822,-1
10931,145.0,122.0,3.4807328269769604,10.62697856029714,0.19341880536771733,3
10932,146.0,122.0,4.068853085259662,10.6685212651709,0.18822087194058598,3
10933,147.0,122.0,4.550238795391467,10.69768021520896,0.1819021954432539,3
10934,212.0,122.0,2.480940751489615,8.684990750339937,0.08793699355911717,-1
10935,213.0,122.0,2.665528450859291,8.727101159699862,0.0975642335690002,-1
10936,214.0,122.0,2.6028736246501856,8.780798614847058,0.09216826391502275,-1
10937,215.0,122.0,2.4165442229521106,8.827959643710594,0.09290486682566455,-1
10938,216.0,122.0,2.3291865218722796,8.874523618604988,0.09612570306423256,-1
10939,98.0,123.0,3.1768662883630148,9.013069248271474,0.08298783170875704,-1
10940,106.0,123.0,5.733919100815974,10.057769668760937,0.08595279759536693,-1
10941,107.0,123.0,5.327239713179571,10.046325608620542,0.08836156897662084,0
10942,108.0,123.0,5.429627285838612,10.013660192158259,0.10217306109310964,0
10943,120.0,123.0,5.5117721525944665,9.361600881044332,0.09490880766801645,-1
10944,121.0,123.0,5.27911876278194,9.341800138177769,0.09877953908742237,-1
10945,122.0,123.0,5.252434816752755,9.31243820642268,0.10965040564849941,-1
10946,123.0,123.0,5.162492706348618,9.278604319584169,0.10911612741692595,-1
10947,124.0,123.0,5.440970430255948,9.24468879049641,0.1107796817341561,-1
10948,125.0,123.0,6.02653279756472,9.226768614182642,0.15126117614092952,-1
10949,129.0,123.0,6.529412818262836,9.15348733779647,0.12642672028792265,4
10950,130.0,123.0,6.42581654571065,9.149484192794247,0.11890673693222781,4
10951,132.0,123.0,6.6747072799586356,9.222394514629343,0.2672689207816253,4
10952,133.0,123.0,6.766262793199131,9.203850920438798,0.2427168046221725,4
10953,134.0,123.0,6.650442351015776,9.201151036640837,0.22100896443275395,4
10954,135.0,123.0,6.601399117495085,9.203761888510204,0.22461095543827836,4
10955,136.0,123.0,5.922821207911668,9.189126681254164,0.21170434519056766,4
10956,139.0,123.0,3.253143494848096,9.21312334380683,0.1431215800148466,4
10957,145.0,123.0,2.7278205199290086,10.653941531573198,0.1762916256769727,3
10958,146.0,123.0,8.057091279190361,10.73027103425612,0.7676161710646371,3
10959,148.0,123.0,4.356330250854761,10.72673554716577,0.15114859014963858,3
10960,149.0,123.0,3.513699610635177,10.684579288371877,0.18123497809374453,3
10961,194.0,123.0,2.1763455462965653,8.951224820383809,0.16995409025221198,-1
10962,195.0,123.0,2.163195588209494,8.947392526480021,0.18244142550164894,-1
10963,215.0,123.0,2.4313906654249706,8.820572558159713,0.09837174301308753,-1
10964,98.0,124.0,2.7650835321842533,9.014288250268175,0.08186891129835618,-1
10965,119.0,124.0,5.426885593067259,9.39719310244,0.11904407783167918,-1
10966,120.0,124.0,5.493290344873828,9.35908274177286,0.1116683891663406,-1
10967,121.0,124.0,5.829806455662265,9.327327137046222,0.12005217529860944,-1
10968,122.0,124.0,5.808188753975427,9.298462873958695,0.12123715729083678,-1
